book_name,average_rating,review_sentiment,cleaned_summary,book_summary_cleaned,summary_summary
Wicked: The Life and Times of the Wicked Witch of the West,2.72,5.303512337530194,"When Dorothy triumphed over the Wicked Witch of the West in L. Frank Baum's classic tale we heard only her side of the story. But what about her arch-nemesis, the mysterious Witch? Where did she come from? How did she become so wicked? And what is the true nature of evil?Gregory Maguire creates a fantasy world so rich and vivid that we will never look at Oz the same way again. Wicked is about a land where animals talk and strive to be treated like first-class citizens, Munchkinlanders seek the comfort of middle-class stability, and the Tin Man becomes a victim of domestic violence. And then there is the little green-skinned girl named Elphaba, who will grow up to become the infamous Wicked Witch of the West, a smart, prickly, and misunderstood creature who challenges all our preconceived notions about the nature of good and evil.An astonishingly rich re-creation of the land of Oz, this book retells the story of Elphaba, the Wicked Witch of the West, who wasn't so wicked after all. Taking readers past the yellow brick road and into a phantasmagoric world rich with imagination and allegory, Gregory Maguire just might change the reputation of one of the most sinister characters in literature.","['When', 'Dorothy', 'triumphed', 'over', 'the', 'Wicked', 'Witch', 'of', 'the', 'West', 'in', 'L.', 'Frank', 'Baum', ""'s"", 'classic', 'tale', 'we', 'heard', 'only', 'her', 'side', 'of', 'the', 'story', '.', 'But', 'what', 'about', 'her', 'arch-nemesis', ',', 'the', 'mysterious', 'Witch', '?', 'Where', 'did', 'she', 'come', 'from', '?', 'How', 'did', 'she', 'become', 'so', 'wicked', '?', 'And', 'what', 'is', 'the', 'true', 'nature', 'of', 'evil', '?', 'Gregory', 'Maguire', 'creates', 'a', 'fantasy', 'world', 'so', 'rich', 'and', 'vivid', 'that', 'we', 'will', 'never', 'look', 'at', 'Oz', 'the', 'same', 'way', 'again', '.', 'Wicked', 'is', 'about', 'a', 'land', 'where', 'animals', 'talk', 'and', 'strive', 'to', 'be', 'treated', 'like', 'first-class', 'citizens', ',', 'Munchkinlanders', 'seek', 'the', 'comfort', 'of', 'middle-class', 'stability', ',', 'and', 'the', 'Tin', 'Man', 'becomes', 'a', 'victim', 'of', 'domestic', 'violence', '.', 'And', 'then', 'there', 'is', 'the', 'little', 'green-skinned', 'girl', 'named', 'Elphaba', ',', 'who', 'will', 'grow', 'up', 'to', 'become', 'the', 'infamous', 'Wicked', 'Witch', 'of', 'the', 'West', ',', 'a', 'smart', ',', 'prickly', ',', 'and', 'misunderstood', 'creature', 'who', 'challenges', 'all', 'our', 'preconceived', 'notions', 'about', 'the', 'nature', 'of', 'good', 'and', 'evil.An', 'astonishingly', 'rich', 're-creation', 'of', 'the', 'land', 'of', 'Oz', ',', 'this', 'book', 'retells', 'the', 'story', 'of', 'Elphaba', ',', 'the', 'Wicked', 'Witch', 'of', 'the', 'West', ',', 'who', 'was', ""n't"", 'so', 'wicked', 'after', 'all', '.', 'Taking', 'readers', 'past', 'the', 'yellow', 'brick', 'road', 'and', 'into', 'a', 'phantasmagoric', 'world', 'rich', 'with', 'imagination', 'and', 'allegory', ',', 'Gregory', 'Maguire', 'just', 'might', 'change', 'the', 'reputation', 'of', 'one', 'of', 'the', 'most', 'sinister', 'characters', 'in', 'literature', '.']","An astonishingly rich re-creation of the land of Oz, this book retells the story of Elphaba, the Wicked Witch of the West. Taking readers past the yellow brick road and into a phantasmagoric world rich with imagination."
The Handmaid’s Tale,3.7,5.928764861403836,"Offred is a Handmaid in the Republic of Gilead. She may leave the home of the Commander and his wife once a day to walk to food markets whose signs are now pictures instead of words because women are no longer allowed to read. She must lie on her back once a month and pray that the Commander makes her pregnant, because in an age of declining births, Offred and the other Handmaids are valued only if their ovaries are viable. Offred can remember the years before, when she lived and made love with her husband, Luke; when she played with and protected her daughter; when she had a job, money of her own, and access to knowledge. But all of that is gone now…Funny, unexpected, horrifying, and altogether convincing, The Handmaid's Tale is at once scathing satire, dire warning, and tour de force.","['Offred', 'is', 'a', 'Handmaid', 'in', 'the', 'Republic', 'of', 'Gilead', '.', 'She', 'may', 'leave', 'the', 'home', 'of', 'the', 'Commander', 'and', 'his', 'wife', 'once', 'a', 'day', 'to', 'walk', 'to', 'food', 'markets', 'whose', 'signs', 'are', 'now', 'pictures', 'instead', 'of', 'words', 'because', 'women', 'are', 'no', 'longer', 'allowed', 'to', 'read', '.', 'She', 'must', 'lie', 'on', 'her', 'back', 'once', 'a', 'month', 'and', 'pray', 'that', 'the', 'Commander', 'makes', 'her', 'pregnant', ',', 'because', 'in', 'an', 'age', 'of', 'declining', 'births', ',', 'Offred', 'and', 'the', 'other', 'Handmaids', 'are', 'valued', 'only', 'if', 'their', 'ovaries', 'are', 'viable', '.', 'Offred', 'can', 'remember', 'the', 'years', 'before', ',', 'when', 'she', 'lived', 'and', 'made', 'love', 'with', 'her', 'husband', ',', 'Luke', ';', 'when', 'she', 'played', 'with', 'and', 'protected', 'her', 'daughter', ';', 'when', 'she', 'had', 'a', 'job', ',', 'money', 'of', 'her', 'own', ',', 'and', 'access', 'to', 'knowledge', '.', 'But', 'all', 'of', 'that', 'is', 'gone', 'now…Funny', ',', 'unexpected', ',', 'horrifying', ',', 'and', 'altogether', 'convincing', ',', 'The', 'Handmaid', ""'s"", 'Tale', 'is', 'at', 'once', 'scathing', 'satire', ',', 'dire', 'warning', ',', 'and', 'tour', 'de', 'force', '.']","Offred is a Handmaid in the Republic of Gilead. She may leave the home of the Commander and his wife once a day to walk to food markets. The Handmaid's Tale is at once scathing satire, dire warning, and tour de force."
Magic Bites,3.74,9.253504860495148,"Ilona Andrews invites you to experience the first novel in the #1 New York Times bestselling series featuring the intriguing fantasy world of mercenary Kate Daniels…When the magic is up, rogue mages cast their spells and monsters appear, while guns refuse to fire and cars fail to start. But then technology returns, and the magic recedes as unpredictably as it arose, leaving all kinds of paranormal problems in its wake.Kate Daniels is a down-on-her-luck mercenary who makes her living cleaning up these magical problems. But when Kate’s guardian is murdered, her quest for justice draws her into a power struggle between two strong factions within Atlanta’s magic circles.The Masters of the Dead, necromancers who can control vampires, and the Pack, a paramilitary clan of shapechangers, blame each other for a series of bizarre killings—and the death of Kate’s guardian may be part of the same mystery. Pressured by both sides to find the killer, Kate realizes she’s way out of her league—but she wouldn’t have it any other way…","['Ilona', 'Andrews', 'invites', 'you', 'to', 'experience', 'the', 'first', 'novel', 'in', 'the', '#', '1', 'New', 'York', 'Times', 'bestselling', 'series', 'featuring', 'the', 'intriguing', 'fantasy', 'world', 'of', 'mercenary', 'Kate', 'Daniels…When', 'the', 'magic', 'is', 'up', ',', 'rogue', 'mages', 'cast', 'their', 'spells', 'and', 'monsters', 'appear', ',', 'while', 'guns', 'refuse', 'to', 'fire', 'and', 'cars', 'fail', 'to', 'start', '.', 'But', 'then', 'technology', 'returns', ',', 'and', 'the', 'magic', 'recedes', 'as', 'unpredictably', 'as', 'it', 'arose', ',', 'leaving', 'all', 'kinds', 'of', 'paranormal', 'problems', 'in', 'its', 'wake.Kate', 'Daniels', 'is', 'a', 'down-on-her-luck', 'mercenary', 'who', 'makes', 'her', 'living', 'cleaning', 'up', 'these', 'magical', 'problems', '.', 'But', 'when', 'Kate', '’', 's', 'guardian', 'is', 'murdered', ',', 'her', 'quest', 'for', 'justice', 'draws', 'her', 'into', 'a', 'power', 'struggle', 'between', 'two', 'strong', 'factions', 'within', 'Atlanta', '’', 's', 'magic', 'circles.The', 'Masters', 'of', 'the', 'Dead', ',', 'necromancers', 'who', 'can', 'control', 'vampires', ',', 'and', 'the', 'Pack', ',', 'a', 'paramilitary', 'clan', 'of', 'shapechangers', ',', 'blame', 'each', 'other', 'for', 'a', 'series', 'of', 'bizarre', 'killings—and', 'the', 'death', 'of', 'Kate', '’', 's', 'guardian', 'may', 'be', 'part', 'of', 'the', 'same', 'mystery', '.', 'Pressured', 'by', 'both', 'sides', 'to', 'find', 'the', 'killer', ',', 'Kate', 'realizes', 'she', '’', 's', 'way', 'out', 'of', 'her', 'league—but', 'she', 'wouldn', '’', 't', 'have', 'it', 'any', 'other', 'way…']","Ilona Andrews invites you to experience the first novel in the #1 New York Times bestselling series featuring the intriguing fantasy world of mercenary Kate Daniels. When the magic is up, rogue mages cast their spells and monsters appear, while guns refuse to fire and cars fail to start. Then technology returns, and the magic recedes as unpredictably as it arose, leaving all kinds of paranormal problems in its wake."
Holes,4.04,13.310122911538352,"Stanley Yelnats is under a curse. A curse that began with his no-good-dirty-rotten-pig-stealing-great-great-grandfather and has since followed generations of Yelnats. Now Stanley has been unjustly sent to a boys’ detention center, Camp Green Lake, where the boys build character by spending all day, every day digging holes exactly five feet wide and five feet deep. There is no lake at Camp Green Lake. But there are an awful lot of holes.It doesn’t take long for Stanley to realize there’s more than character improvement going on at Camp Green Lake. The boys are digging holes because the warden is looking for something. But what could be buried under a dried-up lake? Stanley tries to dig up the truth in this inventive and darkly humorous tale of crime and punishment—and redemption.","['Stanley', 'Yelnats', 'is', 'under', 'a', 'curse', '.', 'A', 'curse', 'that', 'began', 'with', 'his', 'no-good-dirty-rotten-pig-stealing-great-great-grandfather', 'and', 'has', 'since', 'followed', 'generations', 'of', 'Yelnats', '.', 'Now', 'Stanley', 'has', 'been', 'unjustly', 'sent', 'to', 'a', 'boys', '’', 'detention', 'center', ',', 'Camp', 'Green', 'Lake', ',', 'where', 'the', 'boys', 'build', 'character', 'by', 'spending', 'all', 'day', ',', 'every', 'day', 'digging', 'holes', 'exactly', 'five', 'feet', 'wide', 'and', 'five', 'feet', 'deep', '.', 'There', 'is', 'no', 'lake', 'at', 'Camp', 'Green', 'Lake', '.', 'But', 'there', 'are', 'an', 'awful', 'lot', 'of', 'holes.It', 'doesn', '’', 't', 'take', 'long', 'for', 'Stanley', 'to', 'realize', 'there', '’', 's', 'more', 'than', 'character', 'improvement', 'going', 'on', 'at', 'Camp', 'Green', 'Lake', '.', 'The', 'boys', 'are', 'digging', 'holes', 'because', 'the', 'warden', 'is', 'looking', 'for', 'something', '.', 'But', 'what', 'could', 'be', 'buried', 'under', 'a', 'dried-up', 'lake', '?', 'Stanley', 'tries', 'to', 'dig', 'up', 'the', 'truth', 'in', 'this', 'inventive', 'and', 'darkly', 'humorous', 'tale', 'of', 'crime', 'and', 'punishment—and', 'redemption', '.']","Stanley Yelnats is under a curse. A curse that began with his no-good-dirty-rotten-pig-stealing-great- great-grandfather. Now Stanley has been unjustly sent to a boys’ detention center, Camp Green Lake, where the boys build character by digging holes."
Matilda,4.16,10.638164259398296,"“The Trunchbull” is no match for Matilda!Matilda is a little girl who is far too good to be true. At age five-and-a-half she's knocking off double-digit multiplication problems and blitz-reading Dickens. Even more remarkably, her classmates love her even though she's a super-nerd and the teacher's pet. But everything is not perfect in Matilda's world...For starters she has two of the most idiotic, self-centered parents who ever lived. Then there's the large, busty nightmare of a school principal, Miss (""The"") Trunchbull, a former hammer-throwing champion who flings children at will, and is approximately as sympathetic as a bulldozer. Fortunately for Matilda, she has the inner resources to deal with such annoyances: astonishing intelligence, saintly patience, and an innate predilection for revenge. Roald Dahl was a spy, ace fighter-pilot, chocolate historian, and medical inventor. He was also the author of Charlie and the Chocolate Factory, Matilda, The BFG, and many more brilliant stories. He remains the World's No. 1 Storyteller.","['“', 'The', 'Trunchbull', '”', 'is', 'no', 'match', 'for', 'Matilda', '!', 'Matilda', 'is', 'a', 'little', 'girl', 'who', 'is', 'far', 'too', 'good', 'to', 'be', 'true', '.', 'At', 'age', 'five-and-a-half', 'she', ""'s"", 'knocking', 'off', 'double-digit', 'multiplication', 'problems', 'and', 'blitz-reading', 'Dickens', '.', 'Even', 'more', 'remarkably', ',', 'her', 'classmates', 'love', 'her', 'even', 'though', 'she', ""'s"", 'a', 'super-nerd', 'and', 'the', 'teacher', ""'s"", 'pet', '.', 'But', 'everything', 'is', 'not', 'perfect', 'in', 'Matilda', ""'s"", 'world', '...', 'For', 'starters', 'she', 'has', 'two', 'of', 'the', 'most', 'idiotic', ',', 'self-centered', 'parents', 'who', 'ever', 'lived', '.', 'Then', 'there', ""'s"", 'the', 'large', ',', 'busty', 'nightmare', 'of', 'a', 'school', 'principal', ',', 'Miss', '(', '``', 'The', ""''"", ')', 'Trunchbull', ',', 'a', 'former', 'hammer-throwing', 'champion', 'who', 'flings', 'children', 'at', 'will', ',', 'and', 'is', 'approximately', 'as', 'sympathetic', 'as', 'a', 'bulldozer', '.', 'Fortunately', 'for', 'Matilda', ',', 'she', 'has', 'the', 'inner', 'resources', 'to', 'deal', 'with', 'such', 'annoyances', ':', 'astonishing', 'intelligence', ',', 'saintly', 'patience', ',', 'and', 'an', 'innate', 'predilection', 'for', 'revenge', '.', 'Roald', 'Dahl', 'was', 'a', 'spy', ',', 'ace', 'fighter-pilot', ',', 'chocolate', 'historian', ',', 'and', 'medical', 'inventor', '.', 'He', 'was', 'also', 'the', 'author', 'of', 'Charlie', 'and', 'the', 'Chocolate', 'Factory', ',', 'Matilda', ',', 'The', 'BFG', ',', 'and', 'many', 'more', 'brilliant', 'stories', '.', 'He', 'remains', 'the', 'World', ""'s"", 'No', '.', '1', 'Storyteller', '.']","“The Trunchbull” is no match for Matilda! Roald Dahl was a spy, ace fighter-pilot, chocolate historian, and medical inventor. He was also the author of Charlie and the Chocolate Factory, Matilda, The BFG, and many more brilliant stories."
The Boy in the Striped Pajamas,3.4,0.6169627341806193,"If you start to read this book, you will go on a journey with a nine-year-old boy named Bruno. (Though this isn't a book for nine-year-olds.) And sooner or later you will arrive with Bruno at a fence.Fences like this exist all over the world. We hope you never have to encounter one.","['If', 'you', 'start', 'to', 'read', 'this', 'book', ',', 'you', 'will', 'go', 'on', 'a', 'journey', 'with', 'a', 'nine-year-old', 'boy', 'named', 'Bruno', '.', '(', 'Though', 'this', 'is', ""n't"", 'a', 'book', 'for', 'nine-year-olds', '.', ')', 'And', 'sooner', 'or', 'later', 'you', 'will', 'arrive', 'with', 'Bruno', 'at', 'a', 'fence.Fences', 'like', 'this', 'exist', 'all', 'over', 'the', 'world', '.', 'We', 'hope', 'you', 'never', 'have', 'to', 'encounter', 'one', '.']","If you start to read this book, you will go on a journey with a nine-year-old boy named Bruno. And sooner or later you will arrive with Bruno at a fence. We hope you never have to encounter one."
The Thirteenth Tale,3.86,7.732207822218497,"All children mythologize their birth...So begins the prologue of reclusive author Vida Winter's collection of stories, which are as famous for the mystery of the missing thirteenth tale as they are for the delight and enchantment of the twelve that do exist. The enigmatic Winter has spent six decades creating various outlandish life histories for herself -- all of them inventions that have brought her fame and fortune but have kept her violent and tragic past a secret. Now old and ailing, she at last wants to tell the truth about her extraordinary life. She summons biographer Margaret Lea, a young woman for whom the secret of her own birth, hidden by those who loved her most, remains an ever-present pain. Struck by a curious parallel between Miss Winter's story and her own, Margaret takes on the commission. As Vida disinters the life she meant to bury for good, Margaret is mesmerized. It is a tale of gothic strangeness featuring the Angelfield family, including the beautiful and willful Isabelle, the feral twins Adeline and Emmeline, a ghost, a governess, a topiary garden and a devastating fire. Margaret succumbs to the power of Vida's storytelling but remains suspicious of the author's sincerity. She demands the truth from Vida, and together they confront the ghosts that have haunted them while becoming, finally, transformed by the truth themselves. The Thirteenth Tale is a love letter to reading, a book for the feral reader in all of us, a return to that rich vein of storytelling that our parents loved and that we loved as children. Diane Setterfield will keep you guessing, make you wonder, move you to tears and laughter and, in the end, deposit you breathless yet satisfied back upon the shore of your everyday life.","['All', 'children', 'mythologize', 'their', 'birth', '...', 'So', 'begins', 'the', 'prologue', 'of', 'reclusive', 'author', 'Vida', 'Winter', ""'s"", 'collection', 'of', 'stories', ',', 'which', 'are', 'as', 'famous', 'for', 'the', 'mystery', 'of', 'the', 'missing', 'thirteenth', 'tale', 'as', 'they', 'are', 'for', 'the', 'delight', 'and', 'enchantment', 'of', 'the', 'twelve', 'that', 'do', 'exist', '.', 'The', 'enigmatic', 'Winter', 'has', 'spent', 'six', 'decades', 'creating', 'various', 'outlandish', 'life', 'histories', 'for', 'herself', '--', 'all', 'of', 'them', 'inventions', 'that', 'have', 'brought', 'her', 'fame', 'and', 'fortune', 'but', 'have', 'kept', 'her', 'violent', 'and', 'tragic', 'past', 'a', 'secret', '.', 'Now', 'old', 'and', 'ailing', ',', 'she', 'at', 'last', 'wants', 'to', 'tell', 'the', 'truth', 'about', 'her', 'extraordinary', 'life', '.', 'She', 'summons', 'biographer', 'Margaret', 'Lea', ',', 'a', 'young', 'woman', 'for', 'whom', 'the', 'secret', 'of', 'her', 'own', 'birth', ',', 'hidden', 'by', 'those', 'who', 'loved', 'her', 'most', ',', 'remains', 'an', 'ever-present', 'pain', '.', 'Struck', 'by', 'a', 'curious', 'parallel', 'between', 'Miss', 'Winter', ""'s"", 'story', 'and', 'her', 'own', ',', 'Margaret', 'takes', 'on', 'the', 'commission', '.', 'As', 'Vida', 'disinters', 'the', 'life', 'she', 'meant', 'to', 'bury', 'for', 'good', ',', 'Margaret', 'is', 'mesmerized', '.', 'It', 'is', 'a', 'tale', 'of', 'gothic', 'strangeness', 'featuring', 'the', 'Angelfield', 'family', ',', 'including', 'the', 'beautiful', 'and', 'willful', 'Isabelle', ',', 'the', 'feral', 'twins', 'Adeline', 'and', 'Emmeline', ',', 'a', 'ghost', ',', 'a', 'governess', ',', 'a', 'topiary', 'garden', 'and', 'a', 'devastating', 'fire', '.', 'Margaret', 'succumbs', 'to', 'the', 'power', 'of', 'Vida', ""'s"", 'storytelling', 'but', 'remains', 'suspicious', 'of', 'the', 'author', ""'s"", 'sincerity', '.', 'She', 'demands', 'the', 'truth', 'from', 'Vida', ',', 'and', 'together', 'they', 'confront', 'the', 'ghosts', 'that', 'have', 'haunted', 'them', 'while', 'becoming', ',', 'finally', ',', 'transformed', 'by', 'the', 'truth', 'themselves', '.', 'The', 'Thirteenth', 'Tale', 'is', 'a', 'love', 'letter', 'to', 'reading', ',', 'a', 'book', 'for', 'the', 'feral', 'reader', 'in', 'all', 'of', 'us', ',', 'a', 'return', 'to', 'that', 'rich', 'vein', 'of', 'storytelling', 'that', 'our', 'parents', 'loved', 'and', 'that', 'we', 'loved', 'as', 'children', '.', 'Diane', 'Setterfield', 'will', 'keep', 'you', 'guessing', ',', 'make', 'you', 'wonder', ',', 'move', 'you', 'to', 'tears', 'and', 'laughter', 'and', ',', 'in', 'the', 'end', ',', 'deposit', 'you', 'breathless', 'yet', 'satisfied', 'back', 'upon', 'the', 'shore', 'of', 'your', 'everyday', 'life', '.']","Vida Winter has spent six decades creating various outlandish life histories for herself. The Thirteenth Tale is a love letter to reading, a book for the feral reader in all of us. Diane Setterfield will keep you guessing, make you wonder, move you to tears and laughter."
Twilight,2.86,7.459915875933866,"About three things I was absolutely positive.First, Edward was a vampire.Second, there was a part of him - and I didn't know how dominant that part might be - that thirsted for my blood.And third, I was unconditionally and irrevocably in love with him.Deeply seductive and extraordinarily suspenseful, Twilight is a love story with bite.","['About', 'three', 'things', 'I', 'was', 'absolutely', 'positive.First', ',', 'Edward', 'was', 'a', 'vampire.Second', ',', 'there', 'was', 'a', 'part', 'of', 'him', '-', 'and', 'I', 'did', ""n't"", 'know', 'how', 'dominant', 'that', 'part', 'might', 'be', '-', 'that', 'thirsted', 'for', 'my', 'blood.And', 'third', ',', 'I', 'was', 'unconditionally', 'and', 'irrevocably', 'in', 'love', 'with', 'him.Deeply', 'seductive', 'and', 'extraordinarily', 'suspenseful', ',', 'Twilight', 'is', 'a', 'love', 'story', 'with', 'bite', '.']","About three things I was absolutely positive. First, Edward was a vampire. Second, there was a part of him - and I didn't know how dominant that part might be - that thirsted for my blood. Third, I was unconditionally and irrevocably in love with him."
Fantastic Beasts and Where to Find Them,3.84,14.991641714766716,"A copy of Fantastic Beasts and Where to Find Them resides on almost every wizarding household in the country. Now, for a limited period only, Muggles too have the chance to discover where the Quintaped lives, what the Puffskein eats, and why it is best not to leave milk out for a Knarl. Proceeds from the sale of this book will go to improving and saving the lives of children around the world, which means that the dollars and Galleons you exchange for it will do magic beyond the powers of any wizard. If you feel that this is insufficient reason to part with your money, I can only hope most sincerel that passing wizards feel more charitable if they ever see you being attacked by a Manticore. -Albus Dumbledore","['A', 'copy', 'of', 'Fantastic', 'Beasts', 'and', 'Where', 'to', 'Find', 'Them', 'resides', 'on', 'almost', 'every', 'wizarding', 'household', 'in', 'the', 'country', '.', 'Now', ',', 'for', 'a', 'limited', 'period', 'only', ',', 'Muggles', 'too', 'have', 'the', 'chance', 'to', 'discover', 'where', 'the', 'Quintaped', 'lives', ',', 'what', 'the', 'Puffskein', 'eats', ',', 'and', 'why', 'it', 'is', 'best', 'not', 'to', 'leave', 'milk', 'out', 'for', 'a', 'Knarl', '.', 'Proceeds', 'from', 'the', 'sale', 'of', 'this', 'book', 'will', 'go', 'to', 'improving', 'and', 'saving', 'the', 'lives', 'of', 'children', 'around', 'the', 'world', ',', 'which', 'means', 'that', 'the', 'dollars', 'and', 'Galleons', 'you', 'exchange', 'for', 'it', 'will', 'do', 'magic', 'beyond', 'the', 'powers', 'of', 'any', 'wizard', '.', 'If', 'you', 'feel', 'that', 'this', 'is', 'insufficient', 'reason', 'to', 'part', 'with', 'your', 'money', ',', 'I', 'can', 'only', 'hope', 'most', 'sincerel', 'that', 'passing', 'wizards', 'feel', 'more', 'charitable', 'if', 'they', 'ever', 'see', 'you', 'being', 'attacked', 'by', 'a', 'Manticore', '.', '-Albus', 'Dumbledore']","A copy of Fantastic Beasts and Where to Find Them resides on almost every wizarding household in the country. Now, for a limited period only, Muggles too have the chance to discover where the Quintaped lives. Proceeds from the sale of this book will go to improving and saving the lives of children around the world."
Lover Revealed,4.0,13.477808410644544,"Butch O'Neal is a fighter by nature. A hard-living ex-homicide cop, he's the only human ever to be allowed in the inner circle of the Black Dagger Brotherhood. And he wants to go even deeper into the vampire world—to engage in the turf war with the lessers. He's got nothing to lose. His heart belongs to a female vampire, an aristocratic beauty who's way out of his league. If he can't have Marissa, then at least he can fight side by side with the Brothers...Fate curses him with the very thing he wants. When Butch sacrifices himself to save a civilian vampire from the slayers, he falls prey to the darkest force in the war. Left for dead, he's found by a miracle, and the Brotherhood calls on Marissa to bring him back. But even her love may not be enough to save him...","['Butch', ""O'Neal"", 'is', 'a', 'fighter', 'by', 'nature', '.', 'A', 'hard-living', 'ex-homicide', 'cop', ',', 'he', ""'s"", 'the', 'only', 'human', 'ever', 'to', 'be', 'allowed', 'in', 'the', 'inner', 'circle', 'of', 'the', 'Black', 'Dagger', 'Brotherhood', '.', 'And', 'he', 'wants', 'to', 'go', 'even', 'deeper', 'into', 'the', 'vampire', 'world—to', 'engage', 'in', 'the', 'turf', 'war', 'with', 'the', 'lessers', '.', 'He', ""'s"", 'got', 'nothing', 'to', 'lose', '.', 'His', 'heart', 'belongs', 'to', 'a', 'female', 'vampire', ',', 'an', 'aristocratic', 'beauty', 'who', ""'s"", 'way', 'out', 'of', 'his', 'league', '.', 'If', 'he', 'ca', ""n't"", 'have', 'Marissa', ',', 'then', 'at', 'least', 'he', 'can', 'fight', 'side', 'by', 'side', 'with', 'the', 'Brothers', '...', 'Fate', 'curses', 'him', 'with', 'the', 'very', 'thing', 'he', 'wants', '.', 'When', 'Butch', 'sacrifices', 'himself', 'to', 'save', 'a', 'civilian', 'vampire', 'from', 'the', 'slayers', ',', 'he', 'falls', 'prey', 'to', 'the', 'darkest', 'force', 'in', 'the', 'war', '.', 'Left', 'for', 'dead', ',', 'he', ""'s"", 'found', 'by', 'a', 'miracle', ',', 'and', 'the', 'Brotherhood', 'calls', 'on', 'Marissa', 'to', 'bring', 'him', 'back', '.', 'But', 'even', 'her', 'love', 'may', 'not', 'be', 'enough', 'to', 'save', 'him', '...']","Butch O'Neal is a hard-living ex-homicide cop. He's the only human ever to be allowed in the inner circle of the Black Dagger Brotherhood. His heart belongs to a female vampire, an aristocratic beauty who's out of his league."
Dark Lover,3.68,8.346479469888198,"The only purebred vampire left on the planet and the leader of the Black Dagger Brotherhood, Wrath has a score to settle with the slayers who killed his parents centuries ago.But when his most trusted fighter is killed -- orphaning a half-breed daughter unaware of her heritage or her fate -- Wrath must put down his dagger and usher the beautiful female into another world.Racked by a restlessness in her body that wasn’t there before, Beth Randall is helpless against the dangerously sexy man who comes to her at night with shadows in his eyes. His tales of the Brotherhood and blood frighten her. Yet his touch ignites a dawning new hunger one that threatens to consume them both…","['The', 'only', 'purebred', 'vampire', 'left', 'on', 'the', 'planet', 'and', 'the', 'leader', 'of', 'the', 'Black', 'Dagger', 'Brotherhood', ',', 'Wrath', 'has', 'a', 'score', 'to', 'settle', 'with', 'the', 'slayers', 'who', 'killed', 'his', 'parents', 'centuries', 'ago.But', 'when', 'his', 'most', 'trusted', 'fighter', 'is', 'killed', '--', 'orphaning', 'a', 'half-breed', 'daughter', 'unaware', 'of', 'her', 'heritage', 'or', 'her', 'fate', '--', 'Wrath', 'must', 'put', 'down', 'his', 'dagger', 'and', 'usher', 'the', 'beautiful', 'female', 'into', 'another', 'world.Racked', 'by', 'a', 'restlessness', 'in', 'her', 'body', 'that', 'wasn', '’', 't', 'there', 'before', ',', 'Beth', 'Randall', 'is', 'helpless', 'against', 'the', 'dangerously', 'sexy', 'man', 'who', 'comes', 'to', 'her', 'at', 'night', 'with', 'shadows', 'in', 'his', 'eyes', '.', 'His', 'tales', 'of', 'the', 'Brotherhood', 'and', 'blood', 'frighten', 'her', '.', 'Yet', 'his', 'touch', 'ignites', 'a', 'dawning', 'new', 'hunger', 'one', 'that', 'threatens', 'to', 'consume', 'them', 'both…']","The only purebred vampire left on the planet, Wrath has a score to settle with the slayers who killed his parents centuries ago. When his most trusted fighter is killed -- orphaning a half-breed daughter unaware of her heritage or her fate -- Wrath must put down his dagger and usher the beautiful female into another world."
